dst_port,protocol,src_port,flow_duration,prediction,confidence,top3
80,6,38346,2267993.211746216,Benign,0.9485714285714285,"[('Benign', np.float64(0.9485714285714285)), ('DoS', np.float64(0.04476190476190476)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38348,2267408.609390259,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38366,2267616.9872283936,Benign,0.9285714285714285,"[('Benign', np.float64(0.9285714285714285)), ('DoS', np.float64(0.0380952380952381)), ('DDoS', np.float64(0.03333333333333333))]"
80,6,38370,2267642.974853516,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38394,2268101.453781128,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.05142857142857143)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38402,2267363.0714416504,Benign,0.9285714285714285,"[('Benign', np.float64(0.9285714285714285)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.02666666666666667))]"
80,6,38410,2267132.28225708,Benign,0.9552380952380952,"[('Benign', np.float64(0.9552380952380952)), ('DoS', np.float64(0.0380952380952381)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38418,2267156.6009521484,Benign,0.9374603174603174,"[('Benign', np.float64(0.9374603174603174)), ('DoS', np.float64(0.06253968253968255)), ('DDoS', np.float64(0.0))]"
80,6,38440,2267387.3901367188,Benign,0.9619047619047618,"[('Benign', np.float64(0.9619047619047618)), ('DoS', np.float64(0.03142857142857143)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38452,2268008.9473724365,Benign,0.9533333333333334,"[('Benign', np.float64(0.9533333333333334)), ('DoS', np.float64(0.04)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38464,2267658.472061157,Benign,0.96,"[('Benign', np.float64(0.96)), ('DoS', np.float64(0.03333333333333333)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38488,2267974.853515625,Benign,0.96,"[('Benign', np.float64(0.96)), ('DoS', np.float64(0.03333333333333333)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38496,2268043.9949035645,Benign,0.9485714285714285,"[('Benign', np.float64(0.9485714285714285)), ('DoS', np.float64(0.04476190476190476)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38508,2267820.5966949463,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.05142857142857143)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,38532,2267781.972885132,Benign,0.9485714285714285,"[('Benign', np.float64(0.9485714285714285)), ('DoS', np.float64(0.04476190476190476)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38544,2268121.0041046143,Benign,0.9307936507936508,"[('Benign', np.float64(0.9307936507936508)), ('DoS', np.float64(0.06920634920634922)), ('DDoS', np.float64(0.0))]"
80,6,38570,2268270.492553711,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38584,2268471.2409973145,Benign,0.9485714285714285,"[('Benign', np.float64(0.9485714285714285)), ('DoS', np.float64(0.04476190476190476)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38586,2268082.857131958,Benign,0.96,"[('Benign', np.float64(0.96)), ('DoS', np.float64(0.03333333333333333)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38602,2268100.9769439697,Benign,0.9285714285714285,"[('Benign', np.float64(0.9285714285714285)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.02666666666666667))]"
80,6,38628,2268294.334411621,Benign,0.9352380952380952,"[('Benign', np.float64(0.9352380952380952)), ('DoS', np.float64(0.05142857142857143)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,38638,2268425.464630127,Benign,0.96,"[('Benign', np.float64(0.96)), ('DoS', np.float64(0.03333333333333333)), ('Botnet', np.float64(0.006666666666666667))]"
80,6,38656,2268773.317337036,Benign,0.9419047619047618,"[('Benign', np.float64(0.9419047619047618)), ('DoS', np.float64(0.04476190476190476)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,38662,2269212.9611968994,Benign,0.9241269841269841,"[('Benign', np.float64(0.9241269841269841)), ('DoS', np.float64(0.06920634920634922)), ('DDoS', np.float64(0.006666666666666667))]"
